ip,total_requests,unique_paths,error_rate_4xx,ua_bot_flag,avg_requests_per_minute,max_requests_per_minute,repeated_path_ratio,anomaly_score,is_anomaly
1.123.146.168,17,17,0.0,0,17.0,17,0.0,0.11592247908877429,0
1.125.30.9,78,74,0.0,0,26.0,50,0.05128205128205132,0.03036531455239233,0
1.128.111.87,1414,988,0.003536067892503536,0,47.13333333333333,203,0.30127298444130124,-0.18391573158960162,1
1.129.21.150,115,85,0.0,0,38.333333333333336,54,0.26086956521739135,-0.016328695231463075,1
1.140.208.220,68,59,0.0,0,22.666666666666668,50,0.13235294117647056,0.026185924152765327,0
1.145.188.44,12,12,0.08333333333333333,0,12.0,12,0.0,0.07583969445237548,0
1.145.26.51,32,27,0.0,0,16.0,23,0.15625,0.06795984808634814,0
1.145.51.82,167,162,0.011976047904191617,0,27.833333333333332,51,0.029940119760479056,-0.04179228621636055,1
1.145.8.37,236,213,0.0211864406779661,0,39.333333333333336,78,0.09745762711864403,-0.07281505164946234,1
1.146.106.79,23,23,0.0,0,23.0,23,0.0,0.1013300330941529,0
1.146.112.10,63,61,0.0,0,63.0,63,0.031746031746031744,-0.014396666292311622,1
1.146.121.102,41,41,0.024390243902439025,0,13.666666666666666,28,0.0,0.06212992080719515,0
1.146.248.66,1,1,0.0,1,1.0,1,0.0,0.2978596404710851,0
1.146.71.113,107,105,0.0,0,107.0,107,0.01869158878504673,-0.06723763622758805,1
1.146.78.30,1,1,0.0,0,1.0,1,0.0,0.2978596404710851,0
1.146.90.249,2,2,0.0,0,2.0,2,0.0,0.2536864300418806,0
1.147.46.136,81,71,0.0,0,81.0,81,0.12345679012345678,-0.03363052382954401,1
1.147.64.207,98,87,0.01020408163265306,0,24.5,38,0.11224489795918369,0.005719899864382261,0
1.157.159.113,15,15,0.0,0,15.0,15,0.0,0.11692026818266715,0
1.158.95.225,169,105,0.0,0,8.45,82,0.37869822485207105,-0.045022731880158706,1
1.192.192.8,2,2,0.0,0,1.0,1,0.0,0.2920792017321496,0
1.192.195.11,1,1,1.0,0,1.0,1,0.0,0.13347305958721345,0
1.192.195.8,1,1,0.0,0,1.0,1,0.0,0.2978596404710851,0
1.41.181.145,159,157,0.0,0,53.0,99,0.012578616352201255,-0.06228325265395562,1
1.92.197.140,1,1,0.0,0,1.0,1,0.0,0.2978596404710851,0
1.92.204.87,1,1,0.0,0,1.0,1,0.0,0.2978596404710851,0
100.24.149.244,3,3,0.0,1,1.0,1,0.0,0.282766981490269,0
100.24.167.60,4,4,0.0,1,1.0,1,0.0,0.2637034215537903,0
100.25.120.246,3,3,0.0,1,1.0,1,0.0,0.282766981490269,0
100.28.118.16,2,2,0.0,1,1.0,1,0.0,0.2920792017321496,0
100.28.133.214,1,1,0.0,1,1.0,1,0.0,0.2978596404710851,0
100.28.204.82,1,1,0.0,1,1.0,1,0.0,0.2978596404710851,0
100.28.44.58,2,2,0.0,1,1.0,1,0.0,0.2920792017321496,0
100.28.49.152,4,4,0.0,1,1.0,1,0.0,0.2637034215537903,0
100.29.107.38,1,1,0.0,1,1.0,1,0.0,0.2978596404710851,0
100.29.128.75,4,4,0.0,1,1.0,1,0.0,0.2637034215537903,0
100.29.155.89,1,1,0.0,1,1.0,1,0.0,0.2978596404710851,0
100.29.160.53,2,2,0.0,1,1.0,1,0.0,0.2920792017321496,0
100.29.164.178,3,3,0.0,1,1.0,1,0.0,0.282766981490269,0
100.29.34.97,3,3,0.0,1,1.0,1,0.0,0.282766981490269,0
101.115.227.72,125,123,0.008,0,125.0,125,0.016000000000000014,-0.09924852081752966,1
101.115.237.51,43,43,0.0,0,7.166666666666667,27,0.0,0.08216536876572045,0
101.181.72.120,136,136,0.0,0,45.333333333333336,84,0.0,-0.032640883181168645,1
101.185.220.206,23,23,0.0,0,23.0,23,0.0,0.1013300330941529,0
101.32.192.203,11,1,1.0,0,1.0,1,0.9090909090909091,-0.06638658722092605,1
101.33.66.34,1,1,0.0,0,1.0,1,0.0,0.2978596404710851,0
101.36.112.233,8,8,0.0,0,8.0,8,0.0,0.14503157561481345,0
101.44.160.40,1,1,0.0,0,1.0,1,0.0,0.2978596404710851,0
103.135.38.136,1,1,1.0,0,1.0,1,0.0,0.13347305958721345,0
103.35.189.35,1,1,0.0,0,1.0,1,0.0,0.2978596404710851,0
104.152.52.64,2,2,0.5,1,2.0,2,0.0,0.10633291515294052,0
104.210.140.128,1,1,0.0,1,1.0,1,0.0,0.2978596404710851,0
104.23.239.49,2,2,1.0,0,2.0,2,0.0,0.0550624105848877,0
104.28.125.2,1,1,0.0,0,1.0,1,0.0,0.2978596404710851,0
104.28.125.5,5,5,0.8,0,5.0,5,0.0,0.0154548586386829,0
104.28.35.19,1,1,0.0,1,1.0,1,0.0,0.2978596404710851,0
106.117.214.41,1,1,1.0,0,1.0,1,0.0,0.13347305958721345,0
106.70.214.233,129,121,0.007751937984496124,0,14.333333333333334,60,0.06201550387596899,-0.005682238480511637,1
106.71.202.235,23,23,0.0,0,23.0,23,0.0,0.1013300330941529,0
107.20.181.148,3,3,0.0,1,1.0,1,0.0,0.282766981490269,0
107.20.25.33,1,1,0.0,1,1.0,1,0.0,0.2978596404710851,0
107.20.255.194,1,1,0.0,1,1.0,1,0.0,0.2978596404710851,0
107.22.208.39,2,2,0.0,1,1.0,1,0.0,0.2920792017321496,0
107.23.62.75,2,2,0.0,1,1.0,1,0.0,0.2920792017321496,0
108.177.2.9,1,1,1.0,0,1.0,1,0.0,0.13347305958721345,0
110.141.253.29,23,23,0.0,0,23.0,23,0.0,0.1013300330941529,0
111.225.241.31,2,1,0.0,0,1.0,1,0.5,0.14197066039175554,0
115.130.162.30,34,34,0.0,0,17.0,28,0.0,0.09331488884949746,0
115.190.12.175,1,1,1.0,0,1.0,1,0.0,0.13347305958721345,0
116.204.102.28,1,1,0.0,0,1.0,1,0.0,0.2978596404710851,0
116.204.23.220,1,1,0.0,0,1.0,1,0.0,0.2978596404710851,0
116.204.32.255,1,1,0.0,0,1.0,1,0.0,0.2978596404710851,0
116.204.43.240,1,1,0.0,0,1.0,1,0.0,0.2978596404710851,0
116.204.7.15,1,1,0.0,0,1.0,1,0.0,0.2978596404710851,0
